epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6787,1.53187,2.31261,1.46344,0.76307,0.72489,0.71379,0.36862,1.65457,1.83901,1.50397,0.000330357,0.000330357,0.0672946
2,99.8037,1.4553,1.76906,1.39425,0.63966,0.61863,0.60191,0.35234,1.49306,3.64508,1.45937,0.00065931,0.00065931,0.0342903
3,136.35,1.435,1.69331,1.37368,0.70868,0.71163,0.66524,0.36726,1.50042,2.6549,1.4919,0.000983863,0.000983863,0.00128148
4,172.628,1.41655,1.66433,1.38378,0.73294,0.70594,0.71324,0.40742,1.52408,1.82566,1.41892,0.0009802,0.0009802,0.0009802
5,209.928,1.38024,1.59324,1.35946,0.7544,0.68602,0.68228,0.39798,1.44902,1.88851,1.41382,0.0009736,0.0009736,0.0009736
6,246.682,1.38839,1.55498,1.357,0.79133,0.74463,0.74471,0.33553,1.81089,1.70448,1.60254,0.000967,0.000967,0.000967
7,282.878,1.3586,1.51068,1.3299,0.75332,0.73146,0.72675,0.44258,1.39993,1.64867,1.46105,0.0009604,0.0009604,0.0009604
8,320.06,1.34681,1.4794,1.33133,0.80926,0.75759,0.77715,0.47855,1.35814,1.73255,1.31628,0.0009538,0.0009538,0.0009538
9,356.903,1.31391,1.431,1.31521,0.79656,0.73417,0.76542,0.464,1.38152,1.55578,1.34641,0.0009472,0.0009472,0.0009472
10,392.559,1.2966,1.39936,1.30509,0.79756,0.75343,0.76653,0.46812,1.34723,1.47737,1.319,0.0009406,0.0009406,0.0009406
11,429.337,1.28662,1.36752,1.29302,0.83191,0.76951,0.80097,0.5099,1.32228,1.30099,1.3096,0.000934,0.000934,0.000934
12,466.329,1.28505,1.34312,1.29036,0.82684,0.78145,0.81618,0.50419,1.33844,1.3044,1.28361,0.0009274,0.0009274,0.0009274
13,502.197,1.3066,1.32779,1.30175,0.83499,0.78716,0.80351,0.50171,1.38017,1.34593,1.32843,0.0009208,0.0009208,0.0009208
14,538.806,1.26934,1.3287,1.29738,0.83179,0.77554,0.80458,0.51414,1.29823,1.31506,1.26262,0.0009142,0.0009142,0.0009142
15,575.715,1.25259,1.27497,1.26906,0.80146,0.78863,0.79512,0.52044,1.27745,1.39298,1.26386,0.0009076,0.0009076,0.0009076
16,611.655,1.26629,1.2945,1.28981,0.81742,0.80198,0.82551,0.51926,1.33721,1.29736,1.26565,0.000901,0.000901,0.000901
17,648.765,1.24647,1.23572,1.26634,0.8074,0.79344,0.80307,0.50999,1.32391,1.27806,1.29353,0.0008944,0.0008944,0.0008944
18,685.667,1.24291,1.24233,1.25264,0.81953,0.76885,0.81056,0.54154,1.23647,1.24872,1.25427,0.0008878,0.0008878,0.0008878
19,721.742,1.22259,1.20919,1.24238,0.81961,0.79759,0.80942,0.52595,1.2588,1.21905,1.23362,0.0008812,0.0008812,0.0008812
20,758.374,1.25681,1.23195,1.26851,0.8439,0.78579,0.83647,0.55225,1.24675,1.30678,1.23663,0.0008746,0.0008746,0.0008746
21,795.226,1.24053,1.18644,1.25301,0.84258,0.81468,0.8379,0.51483,1.33904,1.20684,1.25288,0.000868,0.000868,0.000868
22,830.945,1.18222,1.16779,1.22799,0.8315,0.81683,0.83205,0.54528,1.23444,1.19768,1.24751,0.0008614,0.0008614,0.0008614
23,866.733,1.20083,1.17701,1.24891,0.85465,0.78969,0.84033,0.56055,1.21283,1.15402,1.22037,0.0008548,0.0008548,0.0008548
24,902.802,1.19094,1.14469,1.22389,0.85472,0.81175,0.85396,0.56041,1.22096,1.21217,1.20589,0.0008482,0.0008482,0.0008482
25,937.687,1.21372,1.16075,1.25488,0.83884,0.80741,0.8334,0.55455,1.21276,1.14864,1.2235,0.0008416,0.0008416,0.0008416
