epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.4485,1.44126,3.54782,1.73632,0.34967,0.15254,0.11521,0.05635,1.96299,9.24954,2.22151,0.0003309,0.0003309,0.0672409
2,165.159,1.50259,3.44384,1.82109,0.16281,0.274,0.14758,0.07858,1.79793,5.81321,2.165,0.00065985,0.00065985,0.0342365
3,241.121,1.49103,3.3537,1.82333,0.16683,0.19939,0.1182,0.0628,1.77005,5.08325,2.05608,0.000984399,0.000984399,0.00122771
4,317.422,1.49548,3.42018,1.82427,0.28839,0.24379,0.18171,0.09435,1.89943,6.29109,2.12147,0.0009802,0.0009802,0.0009802
5,393.237,1.44456,3.22516,1.78452,0.38964,0.25256,0.24206,0.12958,1.66505,4.03245,1.86401,0.0009736,0.0009736,0.0009736
6,468.926,1.41403,3.15215,1.74665,0.37281,0.23926,0.21717,0.13071,1.63203,4.99788,1.8407,0.000967,0.000967,0.000967
7,544.649,1.36907,3.00489,1.71676,0.30617,0.29643,0.24074,0.13547,1.54846,3.79603,1.75546,0.0009604,0.0009604,0.0009604
8,620.142,1.35327,2.9556,1.70826,0.32388,0.259,0.23729,0.14274,1.54611,3.42434,1.79921,0.0009538,0.0009538,0.0009538
9,696.015,1.31649,2.87755,1.6733,0.32113,0.30325,0.26481,0.163,1.53075,3.543,1.73986,0.0009472,0.0009472,0.0009472
10,771.526,1.28978,2.82428,1.66862,0.39382,0.36332,0.27928,0.15385,1.54519,3.78445,1.78535,0.0009406,0.0009406,0.0009406
11,846.89,1.29332,2.73737,1.64745,0.37681,0.33289,0.29891,0.17617,1.57633,3.20869,1.79923,0.000934,0.000934,0.000934
12,922.573,1.267,2.68914,1.63941,0.36855,0.3195,0.28593,0.16959,1.53416,3.3413,1.75357,0.0009274,0.0009274,0.0009274
13,997.809,1.24472,2.63966,1.62869,0.33418,0.31551,0.26089,0.15674,1.51946,3.37056,1.73543,0.0009208,0.0009208,0.0009208
14,1073.21,1.2377,2.63168,1.61849,0.43963,0.3558,0.34138,0.21295,1.40421,2.9352,1.6639,0.0009142,0.0009142,0.0009142
15,1148.58,1.21843,2.52962,1.59015,0.37166,0.33727,0.30697,0.19655,1.45616,3.26184,1.68648,0.0009076,0.0009076,0.0009076
16,1223.79,1.21997,2.5111,1.59868,0.41343,0.31259,0.28395,0.17547,1.50091,3.30577,1.69665,0.000901,0.000901,0.000901
17,1299.28,1.20501,2.48447,1.57463,0.38669,0.37851,0.31522,0.1937,1.35387,3.04692,1.60625,0.0008944,0.0008944,0.0008944
18,1374.52,1.18755,2.44027,1.56394,0.45671,0.35954,0.36962,0.23531,1.387,2.75814,1.62748,0.0008878,0.0008878,0.0008878
19,1450.05,1.15983,2.427,1.54621,0.40061,0.35655,0.3301,0.2063,1.39111,2.99727,1.61314,0.0008812,0.0008812,0.0008812
20,1525.5,1.16784,2.40825,1.55186,0.42973,0.37676,0.35004,0.21348,1.44736,2.87737,1.63356,0.0008746,0.0008746,0.0008746
21,1600.88,1.17218,2.36464,1.5519,0.36591,0.38334,0.33149,0.20531,1.40482,2.91495,1.62774,0.000868,0.000868,0.000868
22,1676.4,1.14553,2.3008,1.53061,0.41193,0.39925,0.3554,0.22741,1.37683,2.85601,1.61643,0.0008614,0.0008614,0.0008614
23,1751.67,1.14428,2.29023,1.53275,0.43362,0.40354,0.36944,0.23849,1.33007,2.8192,1.57919,0.0008548,0.0008548,0.0008548
24,1827.37,1.13152,2.28178,1.51996,0.49324,0.38516,0.37219,0.2356,1.37438,2.8137,1.60019,0.0008482,0.0008482,0.0008482
25,1902.53,1.11145,2.17519,1.5023,0.44261,0.36545,0.36706,0.23453,1.4184,2.77964,1.64354,0.0008416,0.0008416,0.0008416
26,1977.76,1.10979,2.18572,1.50393,0.46523,0.37868,0.35393,0.22688,1.31539,2.86201,1.53985,0.000835,0.000835,0.000835
27,2053.1,1.10118,2.16427,1.48949,0.40749,0.40029,0.37043,0.23376,1.36332,2.74916,1.56567,0.0008284,0.0008284,0.0008284
28,2128.24,1.10289,2.1462,1.50267,0.44841,0.37822,0.35536,0.22596,1.46739,2.99841,1.67194,0.0008218,0.0008218,0.0008218
29,2203.39,1.08924,2.13218,1.49109,0.50476,0.39079,0.39301,0.24483,1.39152,2.7638,1.60285,0.0008152,0.0008152,0.0008152
30,2278.98,1.08062,2.06538,1.47347,0.52999,0.37722,0.39475,0.25694,1.27461,2.62085,1.52933,0.0008086,0.0008086,0.0008086
31,2354.41,1.08767,2.07869,1.47739,0.49326,0.36254,0.3609,0.2264,1.33594,2.81754,1.54424,0.000802,0.000802,0.000802
32,2429.58,1.0635,2.01132,1.45647,0.48515,0.40953,0.39376,0.25261,1.34132,2.70093,1.57264,0.0007954,0.0007954,0.0007954
33,2504.74,1.05337,1.99063,1.45556,0.49159,0.40439,0.37291,0.23864,1.28881,2.83091,1.53871,0.0007888,0.0007888,0.0007888
34,2579.74,1.07433,1.97624,1.45924,0.4842,0.36838,0.34217,0.21683,1.31814,3.04895,1.54301,0.0007822,0.0007822,0.0007822
35,2654.76,1.05598,1.97922,1.46299,0.4873,0.41298,0.40037,0.25353,1.33436,2.66514,1.57235,0.0007756,0.0007756,0.0007756
36,2729.95,1.04676,1.97316,1.44116,0.44021,0.41036,0.35707,0.22841,1.31176,2.7623,1.55046,0.000769,0.000769,0.000769
37,2805.18,1.03556,1.92633,1.43558,0.45413,0.42912,0.40532,0.25788,1.34818,2.59608,1.57957,0.0007624,0.0007624,0.0007624
38,2880.58,1.02562,1.90196,1.43035,0.50594,0.41281,0.38096,0.24854,1.28155,2.89883,1.53945,0.0007558,0.0007558,0.0007558
39,2955.64,1.03056,1.89262,1.43082,0.42175,0.42741,0.3665,0.23843,1.26288,2.97476,1.53365,0.0007492,0.0007492,0.0007492
40,3030.62,0.99994,1.85455,1.40296,0.49998,0.35816,0.36817,0.24355,1.26836,2.683,1.53238,0.0007426,0.0007426,0.0007426
41,3105.8,1.00648,1.83633,1.41452,0.45939,0.39277,0.34102,0.22728,1.22496,3.15577,1.49669,0.000736,0.000736,0.000736
42,3181.28,0.99239,1.82173,1.40023,0.47719,0.38822,0.39023,0.25652,1.30837,2.73337,1.56557,0.0007294,0.0007294,0.0007294
43,3256.73,0.99118,1.75836,1.38294,0.50437,0.38147,0.37533,0.25171,1.17937,2.86982,1.46952,0.0007228,0.0007228,0.0007228
44,3331.93,0.98656,1.75632,1.3943,0.48666,0.41708,0.38347,0.25671,1.25242,2.67042,1.49201,0.0007162,0.0007162,0.0007162
45,3407.17,0.99041,1.75128,1.39933,0.46497,0.44097,0.40797,0.27964,1.19882,2.55979,1.47757,0.0007096,0.0007096,0.0007096
46,3482.6,0.97441,1.74142,1.37992,0.41582,0.39876,0.34882,0.22805,1.20675,2.77935,1.49719,0.000703,0.000703,0.000703
47,3557.95,0.96168,1.70066,1.37121,0.51391,0.405,0.40514,0.2788,1.18266,2.6152,1.45924,0.0006964,0.0006964,0.0006964
48,3633.21,0.9561,1.65431,1.3709,0.53634,0.39746,0.38924,0.26754,1.17392,2.70591,1.45958,0.0006898,0.0006898,0.0006898
49,3708.68,0.95492,1.69319,1.36819,0.53516,0.42059,0.40468,0.27521,1.17948,2.66931,1.45785,0.0006832,0.0006832,0.0006832
50,3784.04,0.95938,1.65959,1.37007,0.44587,0.40768,0.36939,0.24968,1.17331,2.70196,1.46765,0.0006766,0.0006766,0.0006766
51,3859.34,0.93521,1.62557,1.3503,0.51479,0.40067,0.40344,0.27564,1.20194,2.64558,1.49094,0.00067,0.00067,0.00067
52,3934.64,0.93812,1.65272,1.35034,0.45091,0.4261,0.39842,0.26232,1.23623,2.68471,1.50803,0.0006634,0.0006634,0.0006634
53,4009.94,0.91798,1.57947,1.33907,0.52595,0.38888,0.38833,0.26665,1.18176,2.81725,1.48251,0.0006568,0.0006568,0.0006568
54,4085.19,0.92691,1.56,1.34591,0.47128,0.42265,0.39897,0.27124,1.16226,2.6383,1.46264,0.0006502,0.0006502,0.0006502
55,4160.57,0.90154,1.55032,1.33433,0.48309,0.3938,0.37688,0.25559,1.17374,2.84853,1.47488,0.0006436,0.0006436,0.0006436
56,4235.88,0.90814,1.53379,1.32924,0.46968,0.39915,0.39154,0.27364,1.14244,2.68355,1.45226,0.000637,0.000637,0.000637
57,4311.24,0.89894,1.5304,1.32538,0.53277,0.41939,0.41153,0.28201,1.15923,2.63183,1.44489,0.0006304,0.0006304,0.0006304
58,4386.92,0.89961,1.49433,1.32552,0.52609,0.3873,0.39679,0.26986,1.14665,2.58171,1.44458,0.0006238,0.0006238,0.0006238
59,4462.28,0.89716,1.5168,1.32079,0.4737,0.43912,0.4046,0.27117,1.16032,2.53274,1.48252,0.0006172,0.0006172,0.0006172
60,4537.64,0.90296,1.49023,1.32296,0.52924,0.41486,0.40221,0.27682,1.14285,2.63052,1.43568,0.0006106,0.0006106,0.0006106
61,4613,0.88745,1.46102,1.31543,0.48733,0.41895,0.41422,0.28397,1.16832,2.62748,1.44214,0.000604,0.000604,0.000604
62,4688.6,0.89692,1.46919,1.30896,0.52607,0.40885,0.41125,0.28326,1.14689,2.63715,1.44892,0.0005974,0.0005974,0.0005974
63,4763.88,0.88135,1.47392,1.30994,0.50532,0.41671,0.41129,0.28062,1.17789,2.6086,1.46466,0.0005908,0.0005908,0.0005908
64,4839.2,0.87154,1.41863,1.29377,0.48146,0.42229,0.40496,0.28189,1.14339,2.62938,1.44284,0.0005842,0.0005842,0.0005842
65,4914.37,0.8633,1.38584,1.2928,0.5382,0.41385,0.40342,0.28224,1.14444,2.60153,1.46483,0.0005776,0.0005776,0.0005776
66,4989.63,0.83487,1.33008,1.26818,0.52889,0.45248,0.44229,0.30907,1.12822,2.58881,1.44268,0.000571,0.000571,0.000571
67,5064.86,0.85628,1.32343,1.28331,0.54124,0.41747,0.42449,0.29153,1.13767,2.55889,1.44178,0.0005644,0.0005644,0.0005644
68,5140.39,0.86628,1.36809,1.28447,0.52812,0.41082,0.40788,0.28545,1.10197,2.64517,1.41595,0.0005578,0.0005578,0.0005578
69,5215.76,0.83737,1.33603,1.25969,0.57494,0.40939,0.42586,0.29247,1.15797,2.62189,1.46988,0.0005512,0.0005512,0.0005512
70,5291.1,0.84634,1.35022,1.27134,0.53448,0.43837,0.43241,0.30293,1.12969,2.63997,1.44367,0.0005446,0.0005446,0.0005446
71,5366.39,0.8352,1.31445,1.27119,0.52997,0.40835,0.4133,0.28129,1.14637,2.66629,1.45986,0.000538,0.000538,0.000538
72,5441.68,0.81608,1.25114,1.24812,0.52875,0.42935,0.42876,0.29738,1.12361,2.63413,1.44958,0.0005314,0.0005314,0.0005314
73,5516.8,0.82406,1.26809,1.25877,0.54391,0.42389,0.4321,0.30197,1.11658,2.53585,1.41959,0.0005248,0.0005248,0.0005248
74,5592.03,0.82361,1.25543,1.25836,0.47542,0.43173,0.41257,0.28022,1.14086,2.65967,1.45262,0.0005182,0.0005182,0.0005182
75,5667.24,0.82638,1.28315,1.26421,0.55867,0.39953,0.41608,0.28889,1.14519,2.68682,1.43467,0.0005116,0.0005116,0.0005116
76,5742.41,0.81636,1.22245,1.24795,0.5578,0.39092,0.42295,0.29515,1.15914,2.69874,1.45581,0.000505,0.000505,0.000505
77,5817.48,0.80393,1.21916,1.24259,0.55655,0.40282,0.42528,0.29876,1.10655,2.62197,1.43364,0.0004984,0.0004984,0.0004984
78,5892.51,0.81579,1.22759,1.25149,0.49196,0.43122,0.4204,0.29336,1.11731,2.65266,1.45912,0.0004918,0.0004918,0.0004918
79,5967.61,0.80169,1.19718,1.23779,0.51729,0.38389,0.4039,0.28368,1.13345,2.69017,1.45437,0.0004852,0.0004852,0.0004852
80,6042.81,0.7948,1.17841,1.22233,0.5153,0.42412,0.42397,0.29821,1.12384,2.60248,1.44834,0.0004786,0.0004786,0.0004786
81,6117.94,0.8005,1.19804,1.23331,0.48441,0.43574,0.40401,0.28121,1.14801,2.65327,1.46257,0.000472,0.000472,0.000472
82,6193.11,0.79678,1.14791,1.22963,0.53816,0.40182,0.43389,0.30711,1.12327,2.63323,1.43873,0.0004654,0.0004654,0.0004654
83,6268.15,0.78783,1.1569,1.23629,0.50283,0.4181,0.39821,0.27928,1.09979,2.68039,1.4182,0.0004588,0.0004588,0.0004588
84,6343.28,0.78064,1.15603,1.23198,0.58807,0.41432,0.43077,0.30412,1.11479,2.55196,1.44378,0.0004522,0.0004522,0.0004522
85,6418.34,0.79051,1.15235,1.2274,0.52857,0.42624,0.42824,0.30117,1.13331,2.62501,1.43903,0.0004456,0.0004456,0.0004456
86,6493.58,0.76092,1.10747,1.20278,0.54083,0.41274,0.41883,0.29666,1.10432,2.77925,1.41923,0.000439,0.000439,0.000439
87,6568.54,0.77543,1.12037,1.22282,0.56998,0.41117,0.43112,0.30455,1.11654,2.61979,1.42787,0.0004324,0.0004324,0.0004324
88,6643.63,0.77457,1.10895,1.22069,0.56027,0.39455,0.41856,0.29067,1.13839,2.65902,1.46469,0.0004258,0.0004258,0.0004258
89,6718.73,0.76193,1.10944,1.20669,0.51752,0.44269,0.42938,0.30457,1.10483,2.65609,1.42878,0.0004192,0.0004192,0.0004192
90,6793.93,0.75833,1.09764,1.20768,0.47333,0.42299,0.41736,0.288,1.13397,2.63537,1.4797,0.0004126,0.0004126,0.0004126
91,6869.18,0.75364,1.07862,1.19942,0.50392,0.44621,0.42626,0.29921,1.11382,2.73059,1.43928,0.000406,0.000406,0.000406
92,6944.32,0.75351,1.04992,1.19848,0.4866,0.44173,0.42309,0.2967,1.10886,2.7851,1.43843,0.0003994,0.0003994,0.0003994
93,7019.34,0.74798,1.06825,1.19534,0.53995,0.40243,0.42537,0.29707,1.13467,2.72176,1.46341,0.0003928,0.0003928,0.0003928
94,7094.5,0.73981,1.04894,1.18753,0.53095,0.40742,0.40874,0.28535,1.14068,2.76323,1.46794,0.0003862,0.0003862,0.0003862
95,7169.63,0.72961,1.02906,1.17739,0.50872,0.43842,0.4238,0.29884,1.14478,2.7396,1.48057,0.0003796,0.0003796,0.0003796
96,7244.77,0.73917,1.04037,1.18582,0.57714,0.40594,0.4355,0.30874,1.11617,2.60339,1.44653,0.000373,0.000373,0.000373
